#l,D_ll (micro k at 147GHz)
508.23845306293777, 2.1250323068570323
605.4992724145498, 2.397520914895499
904.3528253356875, 3.052917330872519
1219.8644831625322, 3.5315930706344973
1759.076246265339, 3.9957268218899116
2197.953526556983, 4.172744114080932
2799.059273694325, 4.2615727932031575
3441.5532080227626, 4.159138807603776
4409.651691796119, 3.9023942633429485
5386.540508729788, 3.5572971866581784
6537.922323673434, 3.1680667750211176
7859.779647129472, 2.727342268817334
9600.042051672384, 2.2425390674463093
